ID	count	% overlapping fragments on this gene	TE superfamily	NBPS	gene length	percOfGeneLengthOverlappingTEsuperfam	Products
ACHA01MRNA0010883	1	0.00452120444886518	Rex-Babar	932	2487	37.4748693204664	Uncharacterized protein C12orf45 homolog; 
ACHA01MRNA0006094	28	0.126593724568225	Rex-Babar	7814	20972	37.2592027465192	Dystrophin-related protein 2; 
ACHA01MRNA0027648	2	0.00904240889773036	Rex-Babar	357	959	37.2262773722628	Laminin subunit gamma-1; 
ACHA01MRNA0040647	187	0.845465231937788	Rex-Babar	8992	24159	37.2200836127323	Voltage-dependent L-type calcium channel subunit alpha-1D; 
ACHA01MRNA0032019	2	0.00904240889773036	Rex-Babar	1686	4552	37.0386643233743	Latent-transforming growth factor beta-binding protein 3; 
ACHA01MRNA0016375	4	0.0180848177954607	Rex-Babar	5994	16374	36.6068156834005	Glutamate--tRNA ligase; 
ACHA01MRNA0027892	18	0.0813816800795732	Rex-Babar	4869	13421	36.2789657998659	Green-sensitive opsin; 
ACHA01MRNA0005916	1	0.00452120444886518	Rex-Babar	464	1296	35.8024691358025	Telokin; 
ACHA01MRNA0035331	2	0.00904240889773036	Rex-Babar	2594	7329	35.3936416973666	Vacuolar protein sorting-associated protein 26B-like; 
ACHA01MRNA0000485	1	0.00452120444886518	Rex-Babar	1667	4712	35.3777589134126	Enolase; 
ACHA01MRNA0017570	2	0.00904240889773036	Rex-Babar	1252	3557	35.198200730953	GTPase IMAP family member 3; 
ACHA01MRNA0005013	1	0.00452120444886518	Rex-Babar	1900	5406	35.1461339252682	Transmembrane channel-like protein 3; 
ACHA01MRNA0034370	1	0.00452120444886518	Rex-Babar	615	1760	34.9431818181818	SH2 domain-containing protein 6; 
ACHA01MRNA0013409	6	0.0271272266931911	Rex-Babar	1683	4833	34.8230912476723	von Willebrand factor A domain-containing protein 8; 
ACHA01MRNA0003821	5	0.0226060222443259	Rex-Babar	2752	7958	34.5815531540588	NA
ACHA01MRNA0016770	9	0.0406908400397866	Rex-Babar	1176	3401	34.5780652749191	Multidrug resistance-associated protein 5; 
ACHA01MRNA0034882	5	0.0226060222443259	Rex-Babar	2598	7517	34.5616602367966	Sphingomyelin phosphodiesterase 4; 
ACHA01MRNA0015053	1	0.00452120444886518	Rex-Babar	1742	5051	34.4882201544249	NA
ACHA01MRNA0028946	6	0.0271272266931911	Rex-Babar	1443	4185	34.4802867383513	Transmembrane protein 244; 
ACHA01MRNA0033493	1	0.00452120444886518	Rex-Babar	1163	3378	34.4286560094731	Collagen alpha-3(IX) chain; 
ACHA01MRNA0018017	5	0.0226060222443259	Rex-Babar	3254	9470	34.3611404435058	Progestin and adipoQ receptor family member 3; 
ACHA01MRNA0018186	4	0.0180848177954607	Rex-Babar	1424	4154	34.2802118440058	Cytochrome P450 2D20; 
ACHA01MRNA0032987	1	0.00452120444886518	Rex-Babar	1275	3736	34.127408993576	Leukocyte surface antigen CD53; 
ACHA01MRNA0033561	1	0.00452120444886518	Rex-Babar	1767	5198	33.9938437860716	NA
ACHA01MRNA0020765	3	0.0135636133465955	Rex-Babar	1444	4248	33.9924670433145	Non-receptor tyrosine-protein kinase TNK1; 
ACHA01MRNA0021844	8	0.0361696355909214	Rex-Babar	5672	16759	33.8445014619011	Dipeptidyl peptidase 4; 
ACHA01MRNA0032528	1	0.00452120444886518	Rex-Babar	2680	7967	33.6387598845237	Protein MMS22-like; 
ACHA01MRNA0016415	2	0.00904240889773036	Rex-Babar	2401	7173	33.4727450160323	Mitochondrial import inner membrane translocase subunit Tim10; 
ACHA01MRNA0016059	4	0.0180848177954607	Rex-Babar	1490	4471	33.325877879669	Major facilitator superfamily domain-containing protein 4A; 
ACHA01MRNA0029407	2	0.00904240889773036	Rex-Babar	3258	9778	33.3196972796073	Prolyl 3-hydroxylase 2; 
ACHA01MRNA0026557	1	0.00452120444886518	Rex-Babar	790	2371	33.319274567693	Phosducin; 
ACHA01MRNA0037610	1	0.00452120444886518	Rex-Babar	887	2671	33.2085361287907	WAP four-disulfide core domain protein 3; 
ACHA01MRNA0003566	1	0.00452120444886518	Rex-Babar	880	2666	33.0082520630158	WAP four-disulfide core domain protein 3; 
ACHA01MRNA0037409	1	0.00452120444886518	Rex-Babar	831	2520	32.9761904761905	G2/M phase-specific E3 ubiquitin-protein ligase; 
ACHA01MRNA0015155	132	0.596798987250203	Rex-Babar	6252	19090	32.7501309586171	Adenine phosphoribosyltransferase; 
ACHA01MRNA0033908	20	0.0904240889773036	Rex-Babar	4333	13268	32.6575218570998	Resact receptor; 
ACHA01MRNA0022894	1	0.00452120444886518	Rex-Babar	2258	6916	32.6489300173511	NA
ACHA01MRNA0040123	3	0.0135636133465955	Rex-Babar	2780	8529	32.5946769844061	B9 domain-containing protein 2; 
ACHA01MRNA0035550	3	0.0135636133465955	Rex-Babar	2781	8539	32.5682164187844	B9 domain-containing protein 2; 
ACHA01MRNA0032211	2	0.00904240889773036	Rex-Babar	3831	11793	32.4853726787077	GDNF family receptor alpha-4; 
ACHA01MRNA0004180	4	0.0180848177954607	Rex-Babar	931	2893	32.1811268579329	Vascular endothelial growth factor receptor 1; 
ACHA01MRNA0004052	28	0.126593724568225	Rex-Babar	8383	26066	32.1606690708202	Acyl-coenzyme A thioesterase 12; 
ACHA01MRNA0005875	2	0.00904240889773036	Rex-Babar	2617	8153	32.0986140071139	NA
ACHA01MRNA0021472	1	0.00452120444886518	Rex-Babar	626	1954	32.0368474923234	Oxysterol-binding protein-related protein 8; 
ACHA01MRNA0009471	7	0.0316484311420562	Rex-Babar	2336	7323	31.8994947425918	Cadherin-17; 
ACHA01MRNA0025397	4	0.0180848177954607	Rex-Babar	2985	9413	31.7114628704982	Acyl-coenzyme A thioesterase 1; 
ACHA01MRNA0039029	3	0.0135636133465955	Rex-Babar	1807	5699	31.7073170731707	Myosin-7; 
ACHA01MRNA0010099	1	0.00452120444886518	Rex-Babar	624	1992	31.3253012048193	CB1 cannabinoid receptor-interacting protein 1; 
ACHA01MRNA0036081	2	0.00904240889773036	Rex-Babar	1135	3624	31.3189845474614	GREB1-like protein; 
ACHA01MRNA0028638	1	0.00452120444886518	Rex-Babar	1202	3844	31.2695109261186	Pannexin-3; 
ACHA01MRNA0026227	1	0.00452120444886518	Rex-Babar	939	3015	31.1442786069652	Putative transcription factor Ovo-like 1; 
ACHA01MRNA0031573	1	0.00452120444886518	Rex-Babar	1173	3771	31.1058074781225	Acrosin; 
ACHA01MRNA0009645	1	0.00452120444886518	Rex-Babar	930	2990	31.1036789297659	Putative transcription factor Ovo-like 1; 
ACHA01MRNA0023651	2	0.00904240889773036	Rex-Babar	3612	11625	31.0709677419355	Adenosine deaminase domain-containing protein 2; 
ACHA01MRNA0038726	1	0.00452120444886518	Rex-Babar	1166	3785	30.8058124174373	Calcium-transporting ATPase 1; 
ACHA01MRNA0039140	2	0.00904240889773036	Rex-Babar	1750	5681	30.8044358387608	Galactose-specific lectin nattectin; 
ACHA01MRNA0040037	8	0.0361696355909214	Rex-Babar	1465	4765	30.7450157397692	Gamma-aminobutyric acid receptor subunit beta-2; 
ACHA01MRNA0007364	4	0.0180848177954607	Rex-Babar	1754	5711	30.7126597793731	NA
ACHA01MRNA0003517	8	0.0361696355909214	Rex-Babar	3594	11793	30.475705927245	NA
ACHA01MRNA0038591	3	0.0135636133465955	Rex-Babar	988	3252	30.3813038130381	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1; 
ACHA01MRNA0027068	3	0.0135636133465955	Rex-Babar	3801	12574	30.2290440591697	Aldehyde oxidase 1; 
ACHA01MRNA0016272	1	0.00452120444886518	Rex-Babar	2618	8683	30.1508695151445	Nicotinamide riboside kinase 1; 
ACHA01MRNA0020410	1	0.00452120444886518	Rex-Babar	527	1750	30.1142857142857	Peptidyl-prolyl cis-trans isomerase FKBP14; 
ACHA01MRNA0033593	1	0.00452120444886518	Rex-Babar	1708	5676	30.091613812544	Cohesin subunit scc-3; 
ACHA01MRNA0033961	1	0.00452120444886518	Rex-Babar	2355	7844	30.0229474757777	Trinucleotide repeat-containing gene 18 protein; 
ACHA01MRNA0010271	4	0.0180848177954607	Rex-Babar	1986	6626	29.9728342891639	Vitamin K-dependent protein S; 
ACHA01MRNA0017693	4	0.0180848177954607	Rex-Babar	3828	12807	29.8899039587725	Uncharacterized protein C2orf71; 
ACHA01MRNA0011143	2	0.00904240889773036	Rex-Babar	3353	11236	29.8415806336775	Zinc finger protein 345; 
ACHA01MRNA0008298	2	0.00904240889773036	Rex-Babar	3640	12260	29.6900489396411	Lysosomal alpha-glucosidase; 
ACHA01MRNA0018458	1	0.00452120444886518	Rex-Babar	3274	11049	29.6316408724771	Delta-type opioid receptor; 
ACHA01MRNA0031724	7	0.0316484311420562	Rex-Babar	1601	5404	29.6262028127313	HEAT repeat-containing protein 6; 
ACHA01MRNA0014696	3	0.0135636133465955	Rex-Babar	5892	19977	29.4939180057066	Calcium-binding mitochondrial carrier protein SCaMC-1; 
ACHA01MRNA0019054	2	0.00904240889773036	Rex-Babar	1741	5910	29.4585448392555	Tubulin polymerization-promoting protein family member 3; 
ACHA01MRNA0006826	1	0.00452120444886518	Rex-Babar	1490	5066	29.4117647058824	Protein LCHN [Xenopus laevis]; 
ACHA01MRNA0016287	2	0.00904240889773036	Rex-Babar	938	3190	29.4043887147335	Heterogeneous nuclear ribonucleoprotein L-like; 
ACHA01MRNA0027860	3	0.0135636133465955	Rex-Babar	2034	6936	29.3252595155709	UPF0585 protein C16orf13 homolog; 
ACHA01MRNA0040466	2	0.00904240889773036	Rex-Babar	1514	5163	29.3240364129382	Microtubule-associated protein RP/EB family member 1; 
ACHA01MRNA0018614	1	0.00452120444886518	Rex-Babar	1288	4399	29.279381677654	Regulator of G-protein signaling 12; 
ACHA01MRNA0020463	3	0.0135636133465955	Rex-Babar	3483	11898	29.2738275340393	Proline-rich transmembrane protein 3; 
ACHA01MRNA0033204	1	0.00452120444886518	Rex-Babar	1498	5139	29.1496400077836	Leucine-rich repeat protein soc-2; 
ACHA01MRNA0010878	1	0.00452120444886518	Rex-Babar	2104	7218	29.149348850097	Zinc finger CCCH domain-containing protein 10; 
ACHA01MRNA0032283	8	0.0361696355909214	Rex-Babar	2245	7710	29.1180285343709	Probable magnesium transporter NIPA7; 
ACHA01MRNA0037100	4	0.0180848177954607	Rex-Babar	1633	5615	29.0828138913624	Neutral ceramidase; 
ACHA01MRNA0034733	1	0.00452120444886518	Rex-Babar	1503	5171	29.065944691549	Integrator complex subunit 2; 
ACHA01MRNA0000162	3	0.0135636133465955	Rex-Babar	1565	5386	29.056813962124	Leucine-rich repeat-containing protein 61; 
ACHA01MRNA0020535	1	0.00452120444886518	Rex-Babar	925	3184	29.0515075376884	Protein Wnt-1; 
ACHA01MRNA0003506	1	0.00452120444886518	Rex-Babar	656	2276	28.8224956063269	Peptidyl-prolyl cis-trans isomerase A; 
ACHA01MRNA0026844	2	0.00904240889773036	Rex-Babar	3286	11415	28.7866841874726	Syntaxin-1B; 
ACHA01MRNA0021608	2	0.00904240889773036	Rex-Babar	7138	24821	28.7579066113372	Zinc transporter 2; 
ACHA01MRNA0014811	2	0.00904240889773036	Rex-Babar	3960	13787	28.7227097990861	Proteolipid protein 2; 
ACHA01MRNA0027624	3	0.0135636133465955	Rex-Babar	2733	9517	28.717032678365	Huntingtin; 
ACHA01MRNA0035270	2	0.00904240889773036	Rex-Babar	1128	3929	28.7095953168745	Putative sodium-coupled neutral amino acid transporter 8; 
ACHA01MRNA0013498	3	0.0135636133465955	Rex-Babar	3313	11554	28.674052276268	Angiopoietin-2; 
ACHA01MRNA0032551	10	0.0452120444886518	Rex-Babar	2056	7177	28.6470670196461	Coiled-coil domain-containing protein 167; 
ACHA01MRNA0030553	3	0.0135636133465955	Rex-Babar	3375	11793	28.6186720936149	Rho GTPase-activating protein 19; 
ACHA01MRNA0022941	2	0.00904240889773036	Rex-Babar	1736	6068	28.6090969017798	Zinc finger MYM-type protein 3; 
ACHA01MRNA0039681	1	0.00452120444886518	Rex-Babar	1779	6220	28.6012861736334	Tripartite motif-containing protein 65; 
ACHA01MRNA0026416	1	0.00452120444886518	Rex-Babar	1909	6677	28.5906844391194	Putative helicase MOV-10; 
ACHA01MRNA0016955	3	0.0135636133465955	Rex-Babar	3651	12772	28.5859693078609	Spartin; 
ACHA01MRNA0003136	1	0.00452120444886518	Rex-Babar	433	1520	28.4868421052632	Spermidine synthase; 
ACHA01MRNA0027102	2	0.00904240889773036	Rex-Babar	1119	3941	28.3938086780005	Palmitoyltransferase ZDHHC6; 
ACHA01MRNA0023746	6	0.0271272266931911	Rex-Babar	5707	20126	28.3563549637285	SH3 domain and tetratricopeptide repeat-containing protein 2; 
ACHA01MRNA0001769	3	0.0135636133465955	Rex-Babar	2356	8345	28.2324745356501	WD repeat-containing protein 19; 
ACHA01MRNA0033618	6	0.0271272266931911	Rex-Babar	3272	11659	28.0641564456643	Zinc finger protein 561; 
ACHA01MRNA0035734	8	0.0361696355909214	Rex-Babar	2141	7654	27.9723020642801	F-box/SPRY domain-containing protein 1; 
ACHA01MRNA0029517	4	0.0180848177954607	Rex-Babar	3407	12206	27.912502048173	Angiotensin-converting enzyme; 
ACHA01MRNA0038261	1	0.00452120444886518	Rex-Babar	1513	5423	27.8996865203762	Exportin-1; 
ACHA01MRNA0039678	5	0.0226060222443259	Rex-Babar	2012	7220	27.8670360110803	Plexin-A1; 
ACHA01MRNA0008038	3	0.0135636133465955	Rex-Babar	1351	4868	27.7526705012325	Transmembrane protein 236; 
ACHA01MRNA0038085	3	0.0135636133465955	Rex-Babar	1657	6000	27.6166666666667	Meiotically up-regulated gene 24 protein; 
ACHA01MRNA0036920	2	0.00904240889773036	Rex-Babar	874	3172	27.5535939470366	Protein turtle homolog A; 
ACHA01MRNA0016001	1	0.00452120444886518	Rex-Babar	780	2834	27.5229357798165	Transmembrane protein 39B; 
ACHA01MRNA0025287	3	0.0135636133465955	Rex-Babar	3875	14134	27.4161596151125	Complement component C7; 
ACHA01MRNA0021481	2	0.00904240889773036	Rex-Babar	1134	4138	27.4045432576124	Palmitoyltransferase ZDHHC6; 
ACHA01MRNA0015315	1	0.00452120444886518	Rex-Babar	582	2124	27.4011299435028	Galactose-specific lectin nattectin; 
ACHA01MRNA0039798	1	0.00452120444886518	Rex-Babar	1243	4545	27.3487348734873	Dapper 1-A; 
ACHA01MRNA0022219	1	0.00452120444886518	Rex-Babar	2364	8670	27.2664359861592	Glucosamine-6-phosphate isomerase 2; 
ACHA01MRNA0017938	1	0.00452120444886518	Rex-Babar	2058	7549	27.2618889919195	ER membrane protein complex subunit 1; 
ACHA01MRNA0016427	3	0.0135636133465955	Rex-Babar	2450	8988	27.2585669781931	Kelch-like protein 40; 
ACHA01MRNA0008060	1	0.00452120444886518	Rex-Babar	1592	5897	26.9967780227234	NA
ACHA01MRNA0019167	3	0.0135636133465955	Rex-Babar	1189	4407	26.9798048559111	NT-3 growth factor receptor; 
ACHA01MRNA0034119	2	0.00904240889773036	Rex-Babar	1656	6142	26.9619016606968	Leucine--tRNA ligase; 
ACHA01MRNA0007319	1	0.00452120444886518	Rex-Babar	1077	4009	26.8645547518084	V-type proton ATPase 116 kDa subunit a isoform 1; 
ACHA01MRNA0035347	5	0.0226060222443259	Rex-Babar	2042	7613	26.8225403914357	Kinesin-like protein 6; 
ACHA01MRNA0032210	5	0.0226060222443259	Rex-Babar	1919	7161	26.7979332495462	Kv channel-interacting protein 1; 
ACHA01MRNA0017585	1	0.00452120444886518	Rex-Babar	877	3273	26.7949893064467	NA
ACHA01MRNA0031751	1	0.00452120444886518	Rex-Babar	1412	5279	26.7474900549346	Vascular endothelial growth factor receptor 1; 
ACHA01MRNA0009262	1	0.00452120444886518	Rex-Babar	1738	6527	26.6278535314846	Mitochondrial import inner membrane translocase subunit TIM50; 
ACHA01MRNA0029844	1	0.00452120444886518	Rex-Babar	635	2392	26.5468227424749	NA
ACHA01MRNA0035041	2	0.00904240889773036	Rex-Babar	1584	5971	26.5282197286887	Protein borderless; 
ACHA01MRNA0008581	1	0.00452120444886518	Rex-Babar	1829	6906	26.4842166232262	Protein ABHD17C; 
ACHA01MRNA0014139	3	0.0135636133465955	Rex-Babar	1686	6367	26.4802889901052	Transcription factor AP-4; 
ACHA01MRNA0014292	2	0.00904240889773036	Rex-Babar	3553	13436	26.4438821077702	G-protein coupled receptor 26; 
ACHA01MRNA0037766	4	0.0180848177954607	Rex-Babar	2748	10416	26.3824884792627	Zinc finger CCCH domain-containing protein 7A; 
ACHA01MRNA0025656	1	0.00452120444886518	Rex-Babar	2627	9993	26.2884018813169	Testis-expressed protein 2; 
ACHA01MRNA0014013	1	0.00452120444886518	Rex-Babar	1080	4118	26.2263234579893	Uncharacterized oxidoreductase YxjF; 
ACHA01MRNA0006409	1	0.00452120444886518	Rex-Babar	380	1455	26.1168384879725	Microsomal glutathione S-transferase 3; 
ACHA01MRNA0019900	1	0.00452120444886518	Rex-Babar	553	2121	26.0726072607261	Protein moonraker; 
ACHA01MRNA0030912	1	0.00452120444886518	Rex-Babar	1241	4761	26.0659525309809	Dapper 1-A; 
ACHA01MRNA0013459	2	0.00904240889773036	Rex-Babar	2332	8958	26.0325965617325	GRB2-associated-binding protein 1; 
ACHA01MRNA0039717	3	0.0135636133465955	Rex-Babar	240	924	25.974025974026	LWamide neuropeptides; 
ACHA01MRNA0011919	6	0.0271272266931911	Rex-Babar	2362	9122	25.8934444200833	Matrix metalloproteinase-9; 
ACHA01MRNA0017878	3	0.0135636133465955	Rex-Babar	1758	6798	25.8605472197705	Dual specificity protein phosphatase 3; 
ACHA01MRNA0006735	7	0.0316484311420562	Rex-Babar	4719	18250	25.8575342465753	Rho guanine nucleotide exchange factor 4; 
ACHA01MRNA0018418	3	0.0135636133465955	Rex-Babar	864	3350	25.7910447761194	Fibronectin type III domain-containing protein 7; 
ACHA01MRNA0023132	6	0.0271272266931911	Rex-Babar	2025	7855	25.7797581158498	Neuronal cell adhesion molecule; 
ACHA01MRNA0025867	1	0.00452120444886518	Rex-Babar	622	2432	25.5756578947368	Transcription regulator protein BACH1; 
ACHA01MRNA0039251	2	0.00904240889773036	Rex-Babar	2575	10097	25.5026245419432	NA
ACHA01MRNA0026486	4	0.0180848177954607	Rex-Babar	2860	11220	25.4901960784314	MAGUK p55 subfamily member 2; 
ACHA01MRNA0032547	4	0.0180848177954607	Rex-Babar	1706	6712	25.4171632896305	Integrin beta-like protein 1; 
ACHA01MRNA0034432	9	0.0406908400397866	Rex-Babar	6310	24886	25.355621634654	Protein argonaute-4; 
ACHA01MRNA0026203	3	0.0135636133465955	Rex-Babar	2117	8356	25.3350885591192	Threonylcarbamoyl-AMP synthase; 
ACHA01MRNA0000179	2	0.00904240889773036	Rex-Babar	2609	10315	25.2932622394571	Galectin-9B; 
ACHA01MRNA0019277	5	0.0226060222443259	Rex-Babar	3029	11983	25.2774764249353	Neuronal acetylcholine receptor subunit beta-3; 
ACHA01MRNA0012960	1	0.00452120444886518	Rex-Babar	1178	4662	25.2681252681253	Speriolin-like protein; 
ACHA01MRNA0037959	3	0.0135636133465955	Rex-Babar	2051	8129	25.2306556772051	NA
ACHA01MRNA0000642	1	0.00452120444886518	Rex-Babar	470	1864	25.2145922746781	NA
ACHA01MRNA0023683	2	0.00904240889773036	Rex-Babar	347	1378	25.1814223512337	Protein phosphatase 2A scaffold subunit; 
ACHA01MRNA0024844	2	0.00904240889773036	Rex-Babar	347	1378	25.1814223512337	Protein phosphatase 2A scaffold subunit; 
ACHA01MRNA0038531	2	0.00904240889773036	Rex-Babar	347	1378	25.1814223512337	Protein phosphatase 2A scaffold subunit; 
ACHA01MRNA0025534	5	0.0226060222443259	Rex-Babar	2201	8765	25.1112378779236	E3 ubiquitin ligase complex SCF subunit sconC; 
ACHA01MRNA0025866	1	0.00452120444886518	Rex-Babar	1629	6501	25.057683433318	Membrane-spanning 4-domains subfamily A member 4A; 
ACHA01MRNA0035218	1	0.00452120444886518	Rex-Babar	407	1629	24.9846531614487	Rho guanine nucleotide exchange factor 2; 
ACHA01MRNA0010052	8	0.0361696355909214	Rex-Babar	4753	19026	24.981604120677	Mitochondrial-processing peptidase subunit alpha-2; 
ACHA01MRNA0013815	1	0.00452120444886518	Rex-Babar	1511	6057	24.9463430741291	ALK tyrosine kinase receptor; 
ACHA01MRNA0022381	1	0.00452120444886518	Rex-Babar	1055	4232	24.9291115311909	Chromatin assembly factor 1 subunit A; 
ACHA01MRNA0024054	1	0.00452120444886518	Rex-Babar	1247	5003	24.9250449730162	Dual specificity mitogen-activated protein kinase kinase 1; 
ACHA01MRNA0000974	2	0.00904240889773036	Rex-Babar	691	2778	24.8740100791937	Neuronal cell adhesion molecule; 
ACHA01MRNA0039563	2	0.00904240889773036	Rex-Babar	4342	17463	24.8639981675543	Carbonic anhydrase 15; 
ACHA01MRNA0009816	8	0.0361696355909214	Rex-Babar	4773	19214	24.8412615800978	V-set and transmembrane domain-containing protein 4; 
ACHA01MRNA0003132	3	0.0135636133465955	Rex-Babar	5916	23839	24.8164772012249	Ceramide synthase 4; 
ACHA01MRNA0020811	5	0.0226060222443259	Rex-Babar	5135	20693	24.8151548832939	Probable allantoicase; 
ACHA01MRNA0015757	1	0.00452120444886518	Rex-Babar	3288	13290	24.7404063205418	Protein disulfide-isomerase; 
ACHA01MRNA0020633	2	0.00904240889773036	Rex-Babar	922	3730	24.7184986595174	Protein spartin; 
